"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
2.55,1.2,0.98,0.27,1.15,1.49,1.24,1.32,1.16,2.2,2.65,0.02,-0.16,0.53,-0.32,-0.07,1.2,1.54,0.47,0.73,0.9
1.2,2.14,0.77,0.1,1.27,0.93,1.91,2.21,1.68,0.9,1.08,0.12,-0.08,0.53,-0.21,0.26,0.81,1.24,0.19,0.93,0.72
0.98,0.77,1.01,0.05,0.96,0.9,0.78,0.79,0.7,0.48,0.39,0.03,-0.15,0.54,-0.2,-0.03,0.81,1.01,-0.01,0.57,0.78
0.27,0.1,0.05,26.66,0.16,-0.16,0,0.12,0.27,0.26,0.57,-0.05,-0.21,-0.18,-0.28,0.56,0.04,0.23,-0.14,-0.96,0.38
1.15,1.27,0.96,0.16,35.94,1.49,0.93,1.48,1.93,0.15,0.24,0.28,-0.35,0.93,-0.86,0.43,0.76,1.73,-0.29,0.31,0.75
1.49,0.93,0.9,-0.16,1.49,5.04,0.89,1.01,1.09,0.43,0.29,0.35,-0.28,3.03,-1.01,0.16,0.94,1.49,-0.02,1.13,0.97
1.24,1.91,0.78,0,0.93,0.89,3.35,1.87,1.18,1.14,1.41,-0.01,-0.1,0.08,-0.11,0.14,1,1.23,0.03,0.76,0.71
1.32,2.21,0.79,0.12,1.48,1.01,1.87,3.85,2.01,0.95,1.15,0.23,-0.05,0.58,-0.24,0.46,0.73,1.24,0.32,0.81,0.7
1.16,1.68,0.7,0.27,1.93,1.09,1.18,2.01,8.58,0.81,1.02,0.11,-0.05,0.21,-0.41,0.12,0.59,1.02,0.08,1.03,0.71
2.2,0.9,0.48,0.26,0.15,0.43,1.14,0.95,0.81,3.88,5.25,-0.23,0.05,-0.74,0.36,-0.18,0.89,0.76,0.83,-0.2,0.4
2.65,1.08,0.39,0.57,0.24,0.29,1.41,1.15,1.02,5.25,9.57,-0.4,0.09,-2.02,0.7,0.03,0.73,0.67,0.77,-0.49,0.34
0.02,0.12,0.03,-0.05,0.28,0.35,-0.01,0.23,0.11,-0.23,-0.4,0.89,0.1,3.15,-0.87,0.38,-0.08,0,0.15,0.08,0.04
-0.16,-0.08,-0.15,-0.21,-0.35,-0.28,-0.1,-0.05,-0.05,0.05,0.09,0.1,0.38,-0.28,0.52,0.1,-0.23,-0.21,0.2,-0.26,-0.19
0.53,0.53,0.54,-0.18,0.93,3.03,0.08,0.58,0.21,-0.74,-2.02,3.15,-0.28,49.27,-5.24,0.92,0.62,-0.13,0.56,0.55,1.11
-0.32,-0.21,-0.2,-0.28,-0.86,-1.01,-0.11,-0.24,-0.41,0.36,0.7,-0.87,0.52,-5.24,3.63,-0.41,-0.31,-0.35,0.11,-0.61,-0.15
-0.07,0.26,-0.03,0.56,0.43,0.16,0.14,0.46,0.12,-0.18,0.03,0.38,0.1,0.92,-0.41,2.91,-0.49,0.1,0.39,-0.05,0.07
1.2,0.81,0.81,0.04,0.76,0.94,1,0.73,0.59,0.89,0.73,-0.08,-0.23,0.62,-0.31,-0.49,1.51,0.9,0,0.39,0.8
1.54,1.24,1.01,0.23,1.73,1.49,1.23,1.24,1.02,0.76,0.67,0,-0.21,-0.13,-0.35,0.1,0.9,10.28,0.03,0.89,0.42
0.47,0.19,-0.01,-0.14,-0.29,-0.02,0.03,0.32,0.08,0.83,0.77,0.15,0.2,0.56,0.11,0.39,0,0.03,2.87,-0.08,-0.01
0.73,0.93,0.57,-0.96,0.31,1.13,0.76,0.81,1.03,-0.2,-0.49,0.08,-0.26,0.55,-0.61,-0.05,0.39,0.89,-0.08,72.6,0.39
0.9,0.72,0.78,0.38,0.75,0.97,0.71,0.7,0.71,0.4,0.34,0.04,-0.19,1.11,-0.15,0.07,0.8,0.42,-0.01,0.39,8.84
