Age,0,50,100,150,200
0,1,1.15,1.34,1.47,1.6
1,1,1.15,1.34,1.47,1.6
2,1,1.15,1.34,1.47,1.6
3,1,1.15,1.34,1.47,1.6
4,1,1.15,1.34,1.47,1.6
5,1,1.15,1.34,1.47,1.6
6,1,1.15,1.34,1.47,1.6
7,1,1.15,1.34,1.47,1.6
8,1,1.15,1.34,1.47,1.6
9,1,1.15,1.34,1.47,1.6
10,1,1.15,1.34,1.47,1.6
11,1,1.15,1.34,1.47,1.6
12,1,1.15,1.34,1.47,1.6
13,1,1.15,1.34,1.47,1.6
14,1,1.15,1.34,1.47,1.6
15,1,1.15,1.34,1.47,1.6
16,1,1.15,1.34,1.47,1.6
17,1,1.15,1.34,1.47,1.6
18,1,1.15,1.34,1.47,1.6
19,1,1.15,1.34,1.47,1.6
20,1,1.15,1.34,1.47,1.6
21,1,1.15,1.34,1.47,1.6
22,1,1.15,1.34,1.47,1.6
23,1,1.15,1.34,1.47,1.6
24,1,1.15,1.34,1.47,1.6
25,1,1.15,1.34,1.47,1.6
26,1,1.15,1.34,1.47,1.6
27,1,1.15,1.34,1.47,1.6
28,1,1.15,1.34,1.47,1.6
29,1,1.15,1.34,1.47,1.6
30,1,1.15,1.34,1.47,1.6
31,1,1.15,1.34,1.47,1.6
32,1,1.15,1.34,1.47,1.6
33,1,1.15,1.34,1.47,1.6
34,1,1.15,1.34,1.47,1.6
35,1,1.15,1.34,1.47,1.6
36,1,1.15,1.34,1.47,1.6
37,1,1.15,1.34,1.47,1.6
38,1,1.15,1.34,1.47,1.6
39,1,1.15,1.34,1.47,1.6
40,1,1.12,1.27,1.37,1.47
41,1,1.12,1.27,1.37,1.47
42,1,1.12,1.27,1.37,1.47
43,1,1.12,1.27,1.37,1.47
44,1,1.12,1.27,1.37,1.47
45,1,1.11,1.26,1.35,1.45
46,1,1.11,1.26,1.35,1.45
47,1,1.11,1.26,1.35,1.45
48,1,1.11,1.26,1.35,1.45
49,1,1.11,1.26,1.35,1.45
50,1,1.1,1.24,1.32,1.4
51,1,1.1,1.24,1.32,1.4
52,1,1.1,1.24,1.32,1.4
53,1,1.1,1.24,1.32,1.4
54,1,1.1,1.24,1.32,1.4
55,1,1.09,1.2,1.27,1.34
56,1,1.09,1.2,1.27,1.34
57,1,1.09,1.2,1.27,1.34
58,1,1.09,1.2,1.27,1.34
59,1,1.09,1.2,1.27,1.34
60,1,1.08,1.17,1.23,1.29
61,1,1.08,1.17,1.23,1.29
62,1,1.08,1.17,1.23,1.29
63,1,1.08,1.17,1.23,1.29
64,1,1.08,1.17,1.23,1.29
65,1,1.07,1.15,1.21,1.26
66,1,1.07,1.15,1.21,1.26
67,1,1.07,1.15,1.21,1.26
68,1,1.07,1.15,1.21,1.26
69,1,1.07,1.15,1.21,1.26
70,1,1.06,1.14,1.19,1.23
71,1,1.06,1.14,1.19,1.23
72,1,1.06,1.14,1.19,1.23
73,1,1.06,1.14,1.19,1.23
74,1,1.06,1.14,1.19,1.23
75,1,1.06,1.13,1.17,1.21
76,1,1.06,1.13,1.17,1.21
77,1,1.06,1.13,1.17,1.21
78,1,1.06,1.13,1.17,1.21
79,1,1.06,1.13,1.17,1.21
80,1,1.06,1.13,1.17,1.21
81,1,1.06,1.13,1.17,1.21
82,1,1.06,1.13,1.17,1.21
83,1,1.06,1.13,1.17,1.21
84,1,1.06,1.13,1.17,1.21
85,1,1.06,1.13,1.17,1.21
86,1,1.06,1.13,1.17,1.21
87,1,1.06,1.13,1.17,1.21
88,1,1.06,1.13,1.17,1.21
89,1,1.06,1.13,1.17,1.21
90,1,1.06,1.13,1.17,1.21
91,1,1.06,1.13,1.17,1.21
92,1,1.06,1.13,1.17,1.21
93,1,1.06,1.13,1.17,1.21
94,1,1.06,1.13,1.17,1.21
95,1,1.06,1.13,1.17,1.21
96,1,1.06,1.13,1.17,1.21
97,1,1.06,1.13,1.17,1.21
98,1,1.06,1.13,1.17,1.21
99,1,1.06,1.13,1.17,1.21
100,1,1.06,1.13,1.17,1.21
101,1,1.06,1.13,1.17,1.21
102,1,1.06,1.13,1.17,1.21
103,1,1.06,1.13,1.17,1.21
104,1,1.06,1.13,1.17,1.21
105,1,1.06,1.13,1.17,1.21
106,1,1.06,1.13,1.17,1.21
107,1,1.06,1.13,1.17,1.21
108,1,1.06,1.13,1.17,1.21
109,1,1.06,1.13,1.17,1.21
110,1,1.06,1.13,1.17,1.21
