Age,0,100,200,300
0,1,0.94,0.9,0.86
1,1,0.94,0.9,0.86
2,1,0.94,0.9,0.86
3,1,0.94,0.9,0.86
4,1,0.94,0.9,0.86
5,1,0.94,0.9,0.86
6,1,0.94,0.9,0.86
7,1,0.94,0.9,0.86
8,1,0.94,0.9,0.86
9,1,0.94,0.9,0.86
10,1,0.94,0.9,0.86
11,1,0.94,0.9,0.86
12,1,0.94,0.9,0.86
13,1,0.94,0.9,0.86
14,1,0.94,0.9,0.86
15,1,0.94,0.9,0.86
16,1,0.94,0.9,0.86
17,1,0.94,0.9,0.86
18,1,0.94,0.9,0.86
19,1,0.94,0.9,0.86
20,1,0.94,0.9,0.86
21,1,0.94,0.9,0.86
22,1,0.94,0.9,0.86
23,1,0.94,0.9,0.86
24,1,0.94,0.9,0.86
25,1,0.94,0.9,0.86
26,1,0.94,0.9,0.86
27,1,0.94,0.9,0.86
28,1,0.94,0.9,0.86
29,1,0.94,0.9,0.86
30,1,0.94,0.9,0.86
31,1,0.94,0.9,0.86
32,1,0.94,0.9,0.86
33,1,0.94,0.9,0.86
34,1,0.94,0.9,0.86
35,1,0.94,0.9,0.86
36,1,0.94,0.9,0.86
37,1,0.94,0.9,0.86
38,1,0.94,0.9,0.86
39,1,0.94,0.9,0.86
40,1,0.95,0.92,0.89
41,1,0.95,0.92,0.89
42,1,0.95,0.92,0.89
43,1,0.95,0.92,0.89
44,1,0.95,0.92,0.89
45,1,0.96,0.93,0.9
46,1,0.96,0.93,0.9
47,1,0.96,0.93,0.9
48,1,0.96,0.93,0.9
49,1,0.96,0.93,0.9
50,1,0.97,0.94,0.92
51,1,0.97,0.94,0.92
52,1,0.97,0.94,0.92
53,1,0.97,0.94,0.92
54,1,0.97,0.94,0.92
55,1,0.97,0.95,0.93
56,1,0.97,0.95,0.93
57,1,0.97,0.95,0.93
58,1,0.97,0.95,0.93
59,1,0.97,0.95,0.93
60,1,0.98,0.96,0.94
61,1,0.98,0.96,0.94
62,1,0.98,0.96,0.94
63,1,0.98,0.96,0.94
64,1,0.98,0.96,0.94
65,1,0.98,0.97,0.95
66,1,0.98,0.97,0.95
67,1,0.98,0.97,0.95
68,1,0.98,0.97,0.95
69,1,0.98,0.97,0.95
70,1,0.98,0.97,0.96
71,1,0.98,0.97,0.96
72,1,0.98,0.97,0.96
73,1,0.98,0.97,0.96
74,1,0.98,0.97,0.96
75,1,0.99,0.98,0.97
76,1,0.99,0.98,0.97
77,1,0.99,0.98,0.97
78,1,0.99,0.98,0.97
79,1,0.99,0.98,0.97
80,1,0.99,0.98,0.97
81,1,0.99,0.98,0.97
82,1,0.99,0.98,0.97
83,1,0.99,0.98,0.97
84,1,0.99,0.98,0.97
85,1,0.99,0.98,0.97
86,1,0.99,0.98,0.97
87,1,0.99,0.98,0.97
88,1,0.99,0.98,0.97
89,1,0.99,0.98,0.97
90,1,0.99,0.98,0.97
91,1,0.99,0.98,0.97
92,1,0.99,0.98,0.97
93,1,0.99,0.98,0.97
94,1,0.99,0.98,0.97
95,1,0.99,0.98,0.97
96,1,0.99,0.98,0.97
97,1,0.99,0.98,0.97
98,1,0.99,0.98,0.97
99,1,0.99,0.98,0.97
100,1,0.99,0.98,0.97
101,1,0.99,0.98,0.97
102,1,0.99,0.98,0.97
103,1,0.99,0.98,0.97
104,1,0.99,0.98,0.97
105,1,0.99,0.98,0.97
106,1,0.99,0.98,0.97
107,1,0.99,0.98,0.97
108,1,0.99,0.98,0.97
109,1,0.99,0.98,0.97
110,1,0.99,0.98,0.97
