Age,0,10,20,30
0,1,0.83,0.66,0.65
1,1,0.83,0.66,0.65
2,1,0.83,0.66,0.65
3,1,0.83,0.66,0.65
4,1,0.83,0.66,0.65
5,1,0.83,0.66,0.65
6,1,0.83,0.66,0.65
7,1,0.83,0.66,0.65
8,1,0.83,0.66,0.65
9,1,0.83,0.66,0.65
10,1,0.83,0.66,0.65
11,1,0.83,0.66,0.65
12,1,0.83,0.66,0.65
13,1,0.83,0.66,0.65
14,1,0.83,0.66,0.65
15,1,0.83,0.66,0.65
16,1,0.83,0.66,0.65
17,1,0.83,0.66,0.65
18,1,0.83,0.66,0.65
19,1,0.83,0.66,0.65
20,1,0.83,0.66,0.65
21,1,0.83,0.66,0.65
22,1,0.83,0.66,0.65
23,1,0.83,0.66,0.65
24,1,0.83,0.66,0.65
25,1,0.83,0.66,0.65
26,1,0.83,0.66,0.65
27,1,0.83,0.66,0.65
28,1,0.83,0.66,0.65
29,1,0.83,0.66,0.65
30,1,0.83,0.66,0.65
31,1,0.83,0.66,0.65
32,1,0.83,0.66,0.65
33,1,0.83,0.66,0.65
34,1,0.83,0.66,0.65
35,1,0.83,0.66,0.65
36,1,0.83,0.66,0.65
37,1,0.83,0.66,0.65
38,1,0.83,0.66,0.65
39,1,0.83,0.66,0.65
40,1,0.86,0.72,0.71
41,1,0.86,0.72,0.71
42,1,0.86,0.72,0.71
43,1,0.86,0.72,0.71
44,1,0.86,0.72,0.71
45,1,0.88,0.75,0.74
46,1,0.88,0.75,0.74
47,1,0.88,0.75,0.74
48,1,0.88,0.75,0.74
49,1,0.88,0.75,0.74
50,1,0.9,0.79,0.78
51,1,0.9,0.79,0.78
52,1,0.9,0.79,0.78
53,1,0.9,0.79,0.78
54,1,0.9,0.79,0.78
55,1,0.91,0.82,0.81
56,1,0.91,0.82,0.81
57,1,0.91,0.82,0.81
58,1,0.91,0.82,0.81
59,1,0.91,0.82,0.81
60,1,0.93,0.85,0.84
61,1,0.93,0.85,0.84
62,1,0.93,0.85,0.84
63,1,0.93,0.85,0.84
64,1,0.93,0.85,0.84
65,1,0.94,0.87,0.87
66,1,0.94,0.87,0.87
67,1,0.94,0.87,0.87
68,1,0.94,0.87,0.87
69,1,0.94,0.87,0.87
70,1,0.95,0.9,0.89
71,1,0.95,0.9,0.89
72,1,0.95,0.9,0.89
73,1,0.95,0.9,0.89
74,1,0.95,0.9,0.89
75,1,0.96,0.92,0.91
76,1,0.96,0.92,0.91
77,1,0.96,0.92,0.91
78,1,0.96,0.92,0.91
79,1,0.96,0.92,0.91
80,1,0.96,0.92,0.91
81,1,0.96,0.92,0.91
82,1,0.96,0.92,0.91
83,1,0.96,0.92,0.91
84,1,0.96,0.92,0.91
85,1,0.96,0.92,0.91
86,1,0.96,0.92,0.91
87,1,0.96,0.92,0.91
88,1,0.96,0.92,0.91
89,1,0.96,0.92,0.91
90,1,0.96,0.92,0.91
91,1,0.96,0.92,0.91
92,1,0.96,0.92,0.91
93,1,0.96,0.92,0.91
94,1,0.96,0.92,0.91
95,1,0.96,0.92,0.91
96,1,0.96,0.92,0.91
97,1,0.96,0.92,0.91
98,1,0.96,0.92,0.91
99,1,0.96,0.92,0.91
100,1,0.96,0.92,0.91
101,1,0.96,0.92,0.91
102,1,0.96,0.92,0.91
103,1,0.96,0.92,0.91
104,1,0.96,0.92,0.91
105,1,0.96,0.92,0.91
106,1,0.96,0.92,0.91
107,1,0.96,0.92,0.91
108,1,0.96,0.92,0.91
109,1,0.96,0.92,0.91
110,1,0.96,0.92,0.91
